Name,Location,Address,Type,Capacity,Contact,BookingUrl,Lat,Lng,Image,Image2,Image3,Image4,Image5,Image6
Brazilian Room,"Tilden Regional Park, Berkeley","1500 Wildcat Canyon Rd, Berkeley, CA 94708",Event Venue,200+,(510) 544-3164,https://www.ebparks.org/reservations/event-venues/brazilian-room,37.9048,-122.2438,https://www.ebparks.org/sites/default/files/styles/16x9_300w/public/BrazilianRoom-ExteriorFacilityGarden-MarielleHayesPhotography.jpg?h=d7e9bbd0&itok=ZK20ouGy,https://upload.wikimedia.org/wikipedia/commons/a/a6/Brazilian_Room_%28Brazil_Building%29_-_Tilden_Regional_Park%2C_Berkeley%2C_California_-_DSC04245.JPG,https://upload.wikimedia.org/wikipedia/commons/7/71/Brazilian_Room_%28Brazil_Building%29_-_Tilden_Regional_Park%2C_Berkeley%2C_California_-_DSC04247.JPG,https://hazelphoto.com/wp-content/uploads/2024/03/ten-reasons-to-get-married-at-the-brazilian-room-hazel-photo-paul-gargaliano_0030-1160x700.jpg,https://hazelphoto.com/wp-content/uploads/2024/03/ten-reasons-to-get-married-at-the-brazilian-room-hazel-photo-paul-gargaliano_0003.jpg,https://hazelphoto.com/wp-content/uploads/2024/03/ten-reasons-to-get-married-at-the-brazilian-room-hazel-photo-paul-gargaliano_0004.jpg
Temescal Beach House,"Temescal Regional Recreation Area, Oakland","6500 Broadway, Oakland, CA 94618",Event Venue,150+,(510) 544-3164,https://www.ebparks.org/reservations/event-venues/beach-house,37.8352,-122.2510,https://www.ebparks.org/sites/default/files/styles/16x9_1600w/public/BeachHouse-ExteriorFacility-MilouOlinPhotography.jpg?h=b69e0e0e&itok=fir71CLW,https://www.ebparks.org/sites/default/files/Lake-Temescal-Beach-House-DITR-2010-89.jpg,https://www.ebparks.org/sites/default/files/BeachHouse-ExteriorCeremony-NickOttoPhotography.jpg,https://www.ebparks.org/sites/default/files/BeachHouse-InteriorReception-HayleyAnnePhotography.jpg,,
Fern Cottage,"Kennedy Grove, El Sobrante","6530 San Pablo Dam Rd, El Sobrante, CA 94803",Event Venue,75,(510) 544-3164,https://www.ebparks.org/reservations/event-venues/fern-cottage,37.9355,-122.2913,https://www.ebparks.org/sites/default/files/styles/16x9_1600w/public/FernCottage-ExteriorFacility-EBRPD.jpg?h=e95fc175&itok=jcVMH1j9,https://www.ebparks.org/sites/default/files/FernCottage-ExteriorCeremony-JossLi.jpg,https://www.ebparks.org/sites/default/files/FernCottage-ExteriorReception-MichaelMYelp.jpg,https://www.ebparks.org/sites/default/files/FernCottage-InteriorReception-EBRPD.JPG,,
Shoreline Center (Temporarily Closed),"MLK Jr. Regional Shoreline, Oakland","7250 Doolittle Dr, Oakland, CA 94621",Event Venue,150,(510) 544-3164,https://www.ebparks.org/reservations/event-venues/shoreline-center,37.7358,-122.2048,https://www.ebparks.org/sites/default/files/styles/16x9_1600w/public/ShorelineCenter_ExteriorFacilityView.jpg?h=623f249a&itok=4j302zng,https://www.ebparks.org/sites/default/files/ShorelineCenter-ExteriorDeck.jpg,https://www.ebparks.org/sites/default/files/ShorelineCenter-InteriorMeetingSetup.jpg,https://media.eventective.com/2657495_lg.jpg,https://media.eventective.com/2657489_lg.jpg,
Berkeley Rose Garden,"1200 Euclid Ave, Berkeley","1200 Euclid Ave, Berkeley, CA 94708",Outdoor Wedding Venue,150,recreation@berkeleyca.gov,https://berkeleyca.gov/city-services/event-permits-rentals/event-and-facility-rentals,37.8808,-122.2617,https://berkeleyca.gov/sites/default/files/2022-04/img_RoseGarden-overlook.jpg,https://berkeleyca.gov/sites/default/files/2022-01/img-berkeley-rose-garden.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Berkeley_Rose_Garden.jpg,https://live.staticflickr.com/2936/14491682879_537ab0f420.jpg,https://live.staticflickr.com/7326/14166473555_4a780581a6.jpg,
Codornices Park,"1201 Euclid Ave, Berkeley","1201 Euclid Ave, Berkeley, CA 94708",Park/Picnic Area,70,recreation@berkeleyca.gov,https://berkeleyca.gov/city-services/event-permits-rentals/event-and-facility-rentals,37.8816,-122.2622,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Codornices_Park_Berkeley.JPG/1280px-Codornices_Park_Berkeley.JPG,https://berkeleyca.gov/sites/default/files/2025-07/Codornices%20Park.jpg,https://berkeleyca.gov/sites/default/files/2025-07/Codornices%20Park%20%283%29.jpg,https://static.wixstatic.com/media/70a822_8ffba6e6035347348be495c051254e63~mv2_d_3264_2448_s_4_2.jpg,https://static.wixstatic.com/media/70a822_507ab82333424ecfbed83cf369e0bf00~mv2_d_3264_2448_s_4_2.jpg,
Cragmont Rock Park,"Regal Rd, Berkeley","Regal Rd, Berkeley, CA 94708",Park,80,recreation@berkeleyca.gov,https://berkeleyca.gov/city-services/event-permits-rentals/event-and-facility-rentals,37.8915,-122.2646,https://berkeleyca.gov/sites/default/files/2022-01/img-cragmont-rock-001.jpg,https://berkeleyca.gov/sites/default/files/2025-09/Cragmont%20Rock%20Park%20%281%29.jpg,https://berkeleyca.gov/sites/default/files/2025-09/Cragmont%20Rock%20Park.jpg,https://live.staticflickr.com/65535/54276348031_11d8dec01f.jpg,https://live.staticflickr.com/65535/54276598668_230ed513b2.jpg,https://live.staticflickr.com/5042/5234038714_eec1cdfe98.jpg
John Hinkel Park,"41 Somerset Pl, Berkeley","41 Somerset Pl, Berkeley, CA 94707",Amphitheater,250,recreation@berkeleyca.gov,https://berkeleyca.gov/city-services/event-permits-rentals/event-and-facility-rentals,37.8836,-122.2651,https://berkeleyca.gov/sites/default/files/2023-05/john-hinkel-02.jpg,https://i0.wp.com/assets.citysidejournalism.org/m/4586d5dd9596dd93/large-John-Hinkel-Park-reopens-historic-Amphitheater-and-a-new-playground-after-years-of-restoration.jpg,https://i0.wp.com/assets.citysidejournalism.org/m/291ef0310e5aec8e/large-John-Hinkel-Park-reopens-historic-Amphitheater-and-a-new-playground-after-years-of-restoration.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/John_Hinkel_Park%2C_Berkeley.jpg,https://i0.wp.com/assets.citysidejournalism.org/m/359202b1a7adfcd3/large-John-Hinkel-Park-reopens-historic-Amphitheater-and-a-new-playground-after-years-of-restoration.jpg,
UC Botanical Garden,"200 Centennial Dr, Berkeley","200 Centennial Dr, Berkeley, CA 94720",Event Venue,200,(510) 664-4215,https://botanicalgarden.berkeley.edu/private-rentals/,37.8757,-122.2387,https://botanicalgarden.berkeley.edu/wp-content/uploads/2023/05/JMH-couple-scaled.jpg,https://botanicalgarden.berkeley.edu/wp-content/uploads/2023/05/Redwood-Grove-Ceremony-2-scaled.jpg,https://botanicalgarden.berkeley.edu/wp-content/uploads/2023/05/jmh-reception-scaled.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/UC_Botanical_Garden_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/UC_Botanical_Garden%2C_Berkeley%2C_Fern_Grotto.JPG,
California Memorial Stadium,"2227 Piedmont Ave, Berkeley","2227 Piedmont Ave, Berkeley, CA 94720",Event Venue,650,(510) 643-6083,https://www.californiamemorialstadium.com/services/,37.8709,-122.2508,https://upload.wikimedia.org/wikipedia/commons/e/ec/Cal_Memorial_Stadium.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/California_Memorial_Stadium_%281-11%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/California_Memorial_Stadium_%28Berkeley%2C_CA%29.JPG,https://upload.wikimedia.org/wikipedia/commons/5/51/California_Memorial_Stadium_in_2024.jpg,,
