Name,Category,Platforms,Modalities,Local-first,Pricing,GitHub,GitHub stars,Users,Users source
[Retrace](https://retrace.to/),screen history (snapshots+OCR),macOS,"screen (snapshots), OCR text",Yes,Free (open source),[haseab/retrace](https://github.com/haseab/retrace),93,,
[Rewind Desktop](https://infinitememory.io/),screen history (timeline+OCR),macOS,"screen (video/timeline), OCR text",Yes,$30/month,,,,
[ScreenMemory](https://screenmemory.app/),screen history (snapshots+OCR),macOS,"screen (snapshots), OCR text",Yes,$27 lifetime (PRO); Free tier available,,,,
[TimeScroll](https://timescroll.muzhen.org/),screen history (snapshots+OCR),macOS,"screen (snapshots), OCR text, local AI search",Yes,Free forever (open source),[XInTheDark/TimeScrollApp](https://github.com/XInTheDark/TimeScrollApp),98,,
[Rerun](https://usererun.com/),screen history (timeline+OCR),macOS,"screen (continuous capture), OCR text",Yes,Free during beta,,,,
[Hansel](http://hansel.so/),screen history + audio,macOS,"screen rewind, activity timeline, audio capture (mic/system/per-app)",Yes (claims encrypted local storage),Free during beta; ~ $20/month after beta,,,,
[Continuum](https://usecontinuum.ai/),screen memory assistant,macOS,screen capture/indexing (claims across apps),Yes (claims local-only),$20/month (FAQ phrasing); 7-day free trial,,,,
[Memr](https://memr.ai/),screen memory (knowledge graph),Windows (Mac/Linux “coming soon”),screen capture + OCR,No (site says context stored in the cloud),,,,,
[Microsoft Recall](https://learn.microsoft.com/en-us/windows/apps/develop/windows-integration/recall/),OS feature (snapshots+search),Windows (Copilot+ PCs),screen snapshots + search,Yes (local storage; per Microsoft docs/support),Included with Windows on supported hardware (not standalone),,,,
[OpenRecall](https://openrecall.github.io/),open-source recall (snapshots+OCR+search),"Windows, macOS, Linux","screen snapshots, OCR text, semantic search",Yes,Free (open source),[openrecall/openrecall](https://github.com/openrecall/openrecall),2756,,
[Winrecall](https://github.com/builtbybel/Winrecall),windows recall alternative,Windows,screen snapshots + local OCR (project),Yes (project goal),Free (open source),[builtbybel/winrecall](https://github.com/builtbybel/Winrecall),26,,
[Pensieve](https://github.com/arkohut/pensieve),passive screenshot capture + indexing,varies (project),"screenshots, indexing/OCR (project)",Yes,Free (open source),[arkohut/pensieve](https://github.com/arkohut/pensieve),1346,,
[rem](https://github.com/jasonjmcghee/rem),mac screen recording + search,macOS,screen recording + search (project),Yes (project intent),Free (open source),[jasonjmcghee/rem](https://github.com/jasonjmcghee/rem),2469,,
[Timebox](https://github.com/tchin25/timebox),screen capture + OCR + search (project),varies (project),screenshots + OCR + search,varies (project),Free (open source),[tchin25/timebox](https://github.com/tchin25/timebox),3,,
[LiveRecall](https://github.com/VedankPurohit/LiveRecall),screen recall + semantic search (project),macOS (per repo releases),screenshots + OCR + search,Yes (project intent),Free (open source),[vedankpurohit/liverecall](https://github.com/VedankPurohit/LiveRecall),158,,
[screen-grep](https://github.com/gmontamat/screen-grep),screen snapshots + OCR indexing (project),varies (project),screenshots + OCR + search,Yes (project intent),Free (open source),[gmontamat/screen-grep](https://github.com/gmontamat/screen-grep),6,,
[screentap](https://github.com/tleyden/screentap),screen activity tap + OCR (project),varies (project),screen + OCR,varies (project),Free (open source),[tleyden/screentap](https://github.com/tleyden/screentap),9,,
[Visiolog](https://github.com/murat-cileli/visiolog),screen history (project),varies (project),screen capture (project),varies (project),Free (open source),[murat-cileli/visiolog](https://github.com/murat-cileli/visiolog),2,,
[open-memory](https://github.com/data-max-hq/open-memory),windows recall alternative (project),Windows (project),screenshots + OCR + embeddings (project),Yes (project intent),Free (open source),[data-max-hq/open-memory](https://github.com/data-max-hq/open-memory),4,,
[Unlost](https://github.com/Vincent-liuwingsang/unlost),windows recall alternative (project),varies (project),screen snapshots + search (project),varies (project),Free (open source),[vincent-liuwingsang/unlost](https://github.com/Vincent-liuwingsang/unlost),239,,
[ActivityWatch](https://activitywatch.net/),activity/window/app time tracking,"Windows, macOS, Linux","window titles, app usage, browser events (no screenshots by default)",Yes,Free (open source),[ActivityWatch/activitywatch](https://github.com/ActivityWatch/activitywatch),16751,,
[Timelinize](https://timelinize.com/),personal data timeline/archival,"Windows, macOS, Linux (self-hosted)",imports from accounts/devices (not a screen recorder),Yes (self-hosted),Free (open source),[timelinize/timelinize](https://github.com/timelinize/timelinize),3376,,
[WorldBrain Memex](https://github.com/WorldBrain/Memex),browser history / knowledge capture,Browser extension + desktop,"web pages, annotations, highlights (not screen recorder)",Yes (offline-first claim),,[WorldBrain/Memex](https://github.com/WorldBrain/Memex),4625,198,AMO average_daily_users (Firefox add-on slug worldbrain)
[ThunderSearch](https://www.thundersearch.app/),screenshot search (manual library),macOS,screenshots folder import + OCR + embeddings,Yes (claims local processing),Free version (up to 50 images),,,,
[Screenshots.AI](https://screenshots.ai/),screenshot manager (manual screenshots),Windows,screenshots folder + OCR + semantic search,Partially (site says text results saved locally; images sent for analysis),Free to start (generous free tier),,,,
