Name,VenueUrl,PricingUrl,CapacityUrl,Capacity,PriceRange,Address,Region,Type,DistanceMiles,PhotoUrls
UC Botanical Garden,https://botanicalgarden.berkeley.edu/private-rentals/weddings/,https://botanicalgarden.berkeley.edu/private-rentals/weddings/,https://botanicalgarden.berkeley.edu/private-rentals/weddings/,12-200,"$2,000-$9,500 (ceremony $3,500-$4,500; ceremony+reception $8,500-$9,500)","200 Centennial Dr, Berkeley CA 94720",Berkeley,Garden,2.2,
Berkeley City Club,https://www.berkeleycityclub.com/weddings.htm,https://www.herecomestheguide.com/wedding-venues/northern-california/berkeley-city-club,https://www.berkeleycityclub.com/weddings.htm,15-180,"$1,800+ rental (micro 15 guests, intimate 40, grand 180)","2315 Durant Ave, Berkeley CA 94704",Berkeley,Historic/Julia Morgan,0.8,
Berkeley Country Club,https://www.berkeleycountryclub.com/events-and-weddings/weddings,https://www.herecomestheguide.com/wedding-venues/northern-california/berkeley-country-club,https://www.berkeleycountryclub.com/events-and-weddings/weddings,up to 150,"$750-$7,000 rental; F&B up to $10,000","7901 Cutting Boulevard, El Cerrito CA 94530",Berkeley,Country Club,5.4,
Wente Family Vineyards,https://wentevineyards.com/plan-your-wedding/,https://www.herecomestheguide.com/wedding-venues/northern-california/wente-vineyards,https://wentevineyards.com/plan-your-wedding/,140-700,"$2,000-$6,000 rental; F&B min $8,000-$27,000","5050 Arroyo Rd, Livermore CA 94550",Livermore,Winery,41.0,https://wentevineyards.com/wp-content/uploads/2022/01/Wente-Vineyards-Reception-Wedding-scaled-e1641244170206.jpg|https://wentevineyards.com/wp-content/uploads/2022/01/Wedding-additional-photo-scaled-1.jpg|https://wentevineyards.com/wp-content/uploads/2022/01/table-scape-wedding-photo.jpg|https://wentevineyards.com/wp-content/uploads/2024/04/Wente-Vineyards-CBO-Table-Setting-TiaraandKylesWedding556.jpg|https://wentevineyards.com/wp-content/uploads/2022/01/Vineyard-Lawn-Wedding-1.jpg
Cavallo Point,https://www.cavallopoint.com/gatherings/weddings/venues/,https://www.herecomestheguide.com/wedding-venues/northern-california/cavallo-point-lodge,https://www.cavallopoint.com/content/uploads/2025/02/cp-lodge-capacity-chart.pdf,10-530,"$3,500-$11,000 rental; $165-$295/person catering","601 Murray Circle, Sausalito CA 94965",Marin,Resort/Historic,19.6,https://www.cavallopoint.com/content/uploads/2023/10/Weddings-mission-blue-lawn-ceremony-1279x800.jpg|https://www.cavallopoint.com/content/uploads/2023/10/wedding-couple-kissing.jpg|https://www.cavallopoint.com/content/uploads/2023/09/wedding-couple-kissing.jpg|https://www.cavallopoint.com/content/uploads/2023/09/Weddings-zach__erica_1282.jpg|https://www.cavallopoint.com/content/uploads/2023/10/Deborah_Laver_IMG_0602_1-1400x960.jpg
Filoli,https://filoli.org/rentals/weddings/,https://filoli.org/rentals/weddings/,https://filoli.org/rentals/weddings/,10-200+,"$4,000 elopement; $5,000-$6,000 micro; $75,000+ buyout","86 Canada Rd, Woodside CA 94062",Peninsula,Historic Estate,37.2,
Deer Park Villa,https://www.deerparkvilla.com/,https://www.deerparkvilla.com/pricing,https://www.deerparkvilla.com/,up to 300,"$9,000+ elopement; $16,000+ full wedding","367 Bolinas Rd, Fairfax CA 94930",Marin,Redwood Forest,22.8,
Fort Mason Center,https://fortmason.org/venues/weddings/,https://www.herecomestheguide.com/wedding-venues/northern-california/fort-mason-center,https://fortmason.org/venues/weddings/,100-250,"$3,000-$11,000 (Firehouse $3k-$6.5k; Gallery 308 $9k-$11k)","2 Marina Blvd, San Francisco CA 94123",San Francisco,Waterfront,14.1,
Golden Gate Club (Presidio),https://presidio.gov/venues/golden-gate-club,https://www.herecomestheguide.com/wedding-venues/northern-california/golden-gate-club-at-the-presidio-by-wedgewood-weddings,https://presidio.gov/venues/golden-gate-club,up to 300,"$4,995-$14,995 packages; $105+/person","135 Fisher Loop, San Francisco CA 94129",San Francisco,Historic/Views,15.4,https://presidio.gov/images/golden-gate-club-wedding.jpg
California Ballroom,https://www.californiaballroom.com/,https://www.californiaballroom.com/,https://www.californiaballroom.com/,300-600,Contact for pricing (Art Deco landmark),"1736 Franklin St, Oakland CA 94612",Oakland,Art Deco Ballroom,4.9,https://images.squarespace-cdn.com/content/v1/5b502ded9f8770d6bed77eb3/5066c546-4398-485e-a622-fc7e313c165e/Oakstop-California-Ballroom-black%2Bcouple%2Blindy%2Bhop.jpeg|https://images.squarespace-cdn.com/content/v1/57bf309d46c3c410fdf9cc34/1478013836645-IO4ONWE6GLYQX6TKFACP/image-asset.jpeg|https://images.squarespace-cdn.com/content/v1/57bf309d46c3c410fdf9cc34/1478013853031-VYB2E243A7SQKUJTSG9M/image-asset.jpeg|https://images.squarespace-cdn.com/content/v1/57bf309d46c3c410fdf9cc34/1478014398339-333EW5QVFNBN0AJNW4CX/image-asset.jpeg|https://images.squarespace-cdn.com/content/v1/5b502ded9f8770d6bed77eb3/1532023889206-19K4ASCQGSTNK5F4YURE/Hannah%2BPaul-899.jpg
