provider,source_pages,link,serves_berkeley,in_home_euthanasia,private_cremation_available,price_euthanasia,price_sedation,price_travel,price_after_hours,price_private_cremation,price_communal_cremation,price_body_transport,incidentals_expected,expected_wait_time,how_to_schedule
Berkeley Feline Vet (Albany Cat Clinic),https://berkeleyfeline.com/,providers/berkeley-feline-vet.md,unknown,unknown,unknown,not accessible (site returns 404),unknown,unknown,unknown,unknown,unknown,unknown,site returns 404 (TLS hostname mismatch earlier); call to confirm,unknown,call (site not currently accessible)
Berkeley Dog & Cat Hospital,https://www.berkeleydogandcat.com/site/veterinary-euthanasia-east-bay,providers/berkeley-dog-and-cat-hospital.md,unknown,unknown,unknown,not published,unknown,unknown,unknown,not published,not published,not published,aftercare via West Coast Pet Memorial (fees unknown),not published,book online or call (510) 848-5041
Campus Veterinary Clinic,https://campusveterinary.com/pet-hospice-euthanasia-berkeley-ca/,providers/campus-veterinary-clinic.md,unknown,unknown,unknown,not published,unknown,unknown,unknown,not published,not published,not published,not published,not published,book appointment (no wait time listed)
Dr. Bennett's Veterinary House Calls,https://www.bennettvet.com/cost-of-mobile-veterinary-services.html,providers/dr-bennetts-veterinary-house-calls.md,unknown,yes,yes,<60lbs 450; >70lbs 475; >90lbs 500; >120lbs 550,included (not itemized),50-250 possible (out of territory/additional driving; estimate-based),100-200 possible (after hours/nights/holidays/weekends),<20lbs 720; 20-69lbs 770; 70-99lbs 845 (100-120 based on estimate),<20lbs 575; 20-69lbs 625; 70-99lbs 725 (100-120 based on estimate),not itemized (bundled with cremation packages),urgent fit-in fee 100; dangerous animal 50-250; soiled pet 50-200,estimate given when appointment is made; urgent fit-in possible (fee listed),phone (510)-758-7921 or (925) 519-2316 (per pricing page)
Golden Gate Veterinary Home Hospice & Euthanasia,https://www.goldengatevet.com/pricing-new,providers/golden-gate-veterinary-home-hospice.md,unknown,yes,yes,$525 (0-50lbs); $625 (51-80lbs); $725 (80+lbs),included (not itemized),$150/hr outside SF (Marin & San Mateo listed),+$100 after 6pm (subject to availability),starts $300 (individual),starts $100 (communal),$150 body removal/transport (for their euthanasia clients),$350 cancellation <12h; $300 rabies testing if bite in last 10 days,scheduled 1+ days in advance (per pricing page),TBD (site contact method not captured yet)
Caring Heart Vet,https://caringheartvet.com/in-home-euthanasia-san-francisco,providers/caring-heart-vet.md,unknown,yes,yes,$550 (<=60lb); $600 (61-80lb),included (not itemized),$50-150+ (extended travel >20 min),$50-150+ (evening/weekend/holiday/short notice),$350 (individual; ashes 10-14 business days USPS signature),$200 (communal),not itemized (cremation described as service),$400 cancellation <12h; $500 <6h; possible $530 house call in some cases,not explicitly stated; appointments 7 days/week 9:30am-7:30pm,online appointment request form; phone for immediate assistance
Compassion Pet Hospice,https://compassionpethospice.com/us/cost-of-services,providers/compassion-pet-hospice.md,unknown,yes,yes,$530 (in-home euthanasia visit),included (not itemized),$75 travel fee for extended areas (list on site),$150 evening/weekend/holiday (weekend/holiday occasionally available; advanced arrangement),under 20lbs $350; 20-69lbs $375; 70-99lbs $410,under 25lbs $200; 25-69lbs $225; 70-99lbs $250,not itemized (aftercare via AMS per site),$100-$150 same-day/urgent; $100/30min overtime >2h; $30 clay paw print; $75 change/cancel within 24h,Tuesday-Friday 10am-4pm; same-day/urgent occasionally available (fee applies),appointment page; phone (510) 513 6613; email info@compassionpethospice.com
Vet Harmony (Petworks listing),https://www.petworks.com/listing/vet-harmony-in-home-pet-euthanasia-berkeley-ca,providers/vet-harmony-petworks.md,unknown,yes,unknown,$25.00 per visit (listing "Starting Price"; may not be euthanasia),unknown,unknown,unknown,unknown,unknown,unknown,24-hour cancellation notice mentioned; euthanasia pricing not shown publicly,not stated (listing suggests "swift service"; unclear for euthanasia),Petworks booking flow ("book a pet pro")
Peaceful Pet Passing,https://www.peacefulpetpassing.org/,providers/peaceful-pet-passing.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,not published,unknown,not published,not published,call (925) 384-2210
Lap of Love (East Bay),https://www.lapoflove.com/find-a-vet/California/East-Bay-Oakland/about,providers/lap-of-love-east-bay.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,unknown,phone (855) 933-5683 or online booking
Compassionate Care Cat Hospice (cats only),https://www.cathospicevet.com/,providers/compassionate-care-cat-hospice.md,unknown,unknown,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,unknown,not published
Pet Hospice (formerly Bridge Veterinary Services),https://www.pethospice.com/,providers/pet-hospice.md,unknown,unknown,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,site blocked by Cloudflare (call to confirm),unknown,not published
A Life Well Loved,https://www.alifewelllovedvet.com/,providers/a-life-well-loved.md,yes (listed in service area),yes,yes,$450 (0-79lb); $475 (80lb+),included (not itemized),additional travel fee may apply for Alameda*, Castro Valley*, Napa*, Pleasanton* (marked with *),unknown,$300 (0-30lb); $330 (31-69lb); $360 (70-99lb),$150 (0-30lb); $180 (31-69lb); $200 (70-99lb),not itemized (cremation via Bubbling Well; $35 shipping fee if shipped),unknown,unknown,contact via website
Be Kind House Calls,,providers/be-kind-house-calls.md,unknown,unknown,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,unknown,not published
A Gentle Rest,https://www.agentlerest.com/,providers/a-gentle-rest.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,often able to respond to emergency or same-day requests,phone (415) 729-5435; independently and locally owned and operated
Dr. Faith Albright DVM,https://www.faithalbrightdvm.com/,providers/dr-faith-albright-dvm.md,unknown,yes,yes,$400 (home euthanasia visit),included (not itemized),+$100/hr (travel time to and from location),additional fee for outside regular hours (not specified),+$250 (individual cremation; ashes returned in chosen urn),+$100 (communal cremation; ashes scattered in ocean),not itemized (cremation described as service),pets over 100lbs additional fee (not specified),unknown,text 925 500-8050 with desired time frame, name, address, pet's name, pet's approximate weight
CodaPet,https://www.codapet.com/cities/oakland-ca,providers/codapet.md,unknown,yes,unknown,pricing varies by vet (personalized quote),unknown,unknown,unknown,unknown,unknown,unknown,pricing varies,unknown,online booking via website (personalize quote)
Pets at Peace,https://www.petsatpeace.net/,providers/pets-at-peace.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,by appointment only,text (707) 567-1597; Dr. Arnold based out of Oakland; serves East Bay, immediate North and Northeast Bay
Dog and Cat House Calls,https://dogandcathousecalls.com/,providers/dog-and-cat-house-calls.md,unknown,yes,yes,not published (fees can be obtained by calling),included (not itemized),unknown,unknown,not published (private cremation available),not published (group cremation available),not itemized (cremation via Bishop Ranch Veterinary Center in San Ramon),unknown,unknown,phone (925) 735-7387; serves San Francisco East Bay
Pet's Eternal Rest,https://www.petseternalrest.com/,providers/pets-eternal-rest.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,Dr. Cheryl Ramos provides caring home euthanasia services (over a decade experience); also certified in Jikiden Reiki,unknown,phone (925) 408-5112
Heaven from Home,https://www.heavenfromhome.com/,providers/heaven-from-home.md,unknown,yes,yes,$550 (in-home euthanasia service, no body removal or cremation),included (not itemized),unknown,unknown,$850 (under 30lb); $900 (31-70lb); contact for details (over 70lb) - includes standard Sheesham urn with engraved plaque,$650 (under 30lb); $700 (31-70lb); contact for details (over 70lb),not itemized (body removal included with cremation packages),$35 shipping fee if ashes mailed (pickup available at Golden State Pet Crematorium in Livermore),appointments available most weekdays and weekends; 24-48 hours notice recommended; same day occasionally available,text/call (925) 218-8282 or email drwensing@heavenfromhome.com; service area: Pleasanton, Dublin, Livermore, Sunol, San Ramon, Danville, Alamo
East Bay SPCA,https://eastbayspca.org/vet-clinic/euthenasia-cremation,providers/east-bay-spca.md,unknown,unknown,yes,not published,unknown,unknown,unknown,not published (private cremation; cremains in finished cedar urn returned to clinic for pickup),not published (communal cremation; cremains spread on private property in Northern California by Koefran),not itemized (aftercare services available),unknown,by appointment only,phone (510) 569-1606; Theodore B. Travers Family Veterinary Clinic; after-care services for pets who have already passed away available on walk-in basis (recommend calling before arrival)
El Cerrito Veterinary Care,https://elcerritoveterinarian.com/services/end-of-life-pet-care,providers/el-cerrito-veterinary-care.md,yes (serves Berkeley area),unknown,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,unknown,phone (510) 529-4355; located at 10324 San Pablo Ave El Cerrito, CA 94530; serves El Cerrito, Kensington, Albany, Richmond, Berkeley, Emeryville, Oakland, El Sobrante, San Pablo, other parts of East Bay
Aenlivon Pet Care,https://aenlivonpetcare.com/,providers/aenlivon-pet-care.md,unknown,yes,unknown,not published,unknown,unknown,unknown,not published,not published,unknown,unknown,unknown,phone (510) 386-2003; serves Fremont, Union City, Newark, parts of Hayward, Menlo Park and Palo Alto; offers "Compassionate Hospice and At-Home Euthanasia" service
