Venue Name,Location,Distance,Max Capacity,Rental Pricing,Venue Type,Contact,Notes,Image,Address
[Zellerbach Auditorium](https://calperformances.org/venue-rental/zellerbach-auditorium/),"Berkeley, CA",0 min,2000,Market-based rates; nonprofit rates available,Theater/Auditorium,events@calperformances.org,UC Berkeley's largest indoor performance facility,https://calperformances.org/wp-content/uploads/2020/07/zellerbach-hall-from-stage.jpg,
[Hearst Greek Theatre](https://calperformances.org/venue-rental/),"Berkeley, CA",0 min,8000,Market-based rates; nonprofit rates available,Outdoor Amphitheater,events@calperformances.org,Outdoor amphitheater in the Berkeley hills,"<img src=""https://upload.wikimedia.org/wikipedia/commons/0/0f/Hearst_Greek_Theatre_%28Berkeley%2C_CA%29.JPG""> <img src=""downloads/bay-area-theaters/images/Hearst_Greek_Theatre_Berkeley/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Hearst_Greek_Theatre_Berkeley/image_2.jpg""> <img src=""downloads/bay-area-theaters/images/Hearst_Greek_Theatre_Berkeley/image_3.jpg"">",
[Wheeler Hall Auditorium](https://calperformances.org/venue-rental/wheeler-auditorium/),"Berkeley, CA",0 min,700,Market-based rates; nonprofit rates available,Theater/Auditorium,510.642.7319,Suitable for spoken word/comedy/film/lectures,"<img src=""https://live.staticflickr.com/5508/9368988792_b38414e96e.jpg""> <img src=""downloads/bay-area-theaters/images/Wheeler_Hall_Auditorium_UC_Berkeley/image_1.jpg"">",
[Zellerbach Playhouse](https://calperformances.org/venue-rental/),"Berkeley, CA",0 min,400,Market-based rates; nonprofit rates available,Theater,events@calperformances.org,Intimate theater with flexible seating,"<img src=""https://calperformances.org/wp-content/uploads/2020/07/zellerbach-hall-from-stage.jpg""> <img src=""downloads/bay-area-theaters/images/Zellerbach_Playhouse_Berkeley/image_1.jpg"">",
[Berkeley Rep - Roda Theatre](https://www.berkeleyrep.org/rentals-q9t1),"Berkeley, CA",0 min,568,Contact for rates; nonprofit rates available,Theater,rentals@berkeleyrep.org,Available Jul 27-Aug 2 2026,https://img.berkeleyrep.org/6e5XFXQxmCfVkC9_LN45FK4JKjmlvQbIdFTkAEKyTD8/c:1974:1974/s:900:900:1/aHR0cHM6Ly93d3cuYmVya2VsZXlyZXAub3JnLy9jbXNfZmlsZXMvc3lzdGVtL2ltYWdlcy9pbWcwMzU4X29yaWcuanBn,
[Berkeley Rep - Peet's Theatre](https://www.berkeleyrep.org/rentals-q9t1),"Berkeley, CA",0 min,399,Contact for rates; nonprofit rates available,Theater,rentals@berkeleyrep.org,Available Jun 1-7 2026,https://img.berkeleyrep.org/MTVRAbT4eeYsX5OZReytDp9NSUB5Rob3ybHOx4Ey5A8/c:1974:1974/s:900:900:1/aHR0cHM6Ly93d3cuYmVya2VsZXlyZXAub3JnLy9jbXNfZmlsZXMvc3lzdGVtL2ltYWdlcy9pbWcwMzU5X29yaWcuanBn,
[Freight & Salvage](https://thefreight.org/visit/rentals/),"Berkeley, CA",0 min,490,Contact for rates,Concert Hall,avneel@thefreight.org,Downtown Arts District; Meyer Sound system,"<img src=""https://thefreight.org/app/uploads/2025/07/Circlesongs-5_12_25-Dave-Weiland-1024x576.jpg""> <img src=""downloads/bay-area-theaters/images/Freight_Salvage_Berkeley/image_1.jpg""> <img src=""downloads/bay-area-theaters/images/Freight_Salvage_Berkeley/image_2.png"">",
[La Peña Cultural Center](https://lapena.org/space-rental-information/),"Berkeley, CA",0 min,220,$50-$1000 depending on event type/time,Theater/Cultural Center,lapena.org,Main theater 170 seated; lounge 40-60; community room 20-40,https://lapena.org/wp-content/uploads/2016/08/Theater-1.jpg,
[Julia Morgan Theater](https://thevendry.com/venue/161624/julia-morgan-theater-berkeley-ca),"Berkeley, CA",0 min,355,Contact for rates,Historic Theater,Berkeley Playhouse,Not currently accepting general rentals,https://upload.wikimedia.org/wikipedia/commons/7/75/St._John%27s_Presbyterian_Church_%28Berkeley%2C_CA%29.JPG,
[Shotgun Players Ashby Stage](https://shotgunplayers.org/get-involved/contact-us/),"Berkeley, CA",0 min,~100,Contact for rates,Theater,510.841.6500,Near Ashby BART,https://shotgunplayers.org/wp-content/uploads/2025/01/The-Events.jpg,1901 Ashby Avenue
Berkeley,California 94703,,,,,,,,
